,疾病名称,简介,挂号的科室
10,烟雾病,烟雾病即moyamoya病，又称脑底异常血管网，是一组以颈内动脉虹吸部及大脑前、中动脉起始部狭窄或闭塞，脑底出现异常的小血管网为特点的脑血管病。因在脑血管造影时呈现许多密集成堆的小血管影似吸烟吐出的烟雾故名。　　,神经内科 外科
11,婴儿痉挛症,婴儿痉挛症(infantile spasm)又名West综合征，点头样癫痫、肌阵挛大发作、大摺刀型惊厥。本病征的同义名甚多，有称敬礼样惊厥。,儿科 神经内科
12,慢性铅中毒,"铅对人体各组织均有毒性,中毒途径可由呼吸道吸入其蒸气或粉尘,然后呼吸道中吞噬细胞将其迅速带至血液;或经消化道吸收,进入血循环而发生中毒。中毒者一般有铅及铅化物接触史。以神经、消化、造血系统障碍为主的全身性疾。铅以离子状态被吸收后进入血循环，主要以铅盐和与血浆蛋白结合的形...",急诊科
13,抽动障碍,以不自主的、反复的、快速的一个或多个部位的运动抽动和/或发声抽动为主要特征的一组综合征。包括短暂性抽动障碍、慢性运动或发声抽动障碍、发声与多种运动联合抽动障碍(抽动秽语综合征、Tourette综合征)。抽动主要表现为运动抽动和发声抽动，肌肉抽动发生在一个或多个部位，包括简单运...,神经内科 精神病科
14,安眠药中毒,所谓安眠，是指通过药物或其他措施对中枢神经系统产生广泛抑制作用，从而产生镇静、催眠和抗惊厥等效应。药物剂量不同，临床效果也不相同：使用小剂量镇静剂可起到安静、减轻和消除患者的激动、焦虑不安等症状的作用;中等剂量则可维持人正常睡眠;大剂量则有抗惊厥、麻醉作用。,急诊科 消化内科
15,颞叶癫痫,颞叶前内基底部痫灶为主引起的钩回发作称之为颞叶癫痫，是局限性癫痫的代表。,神经内科 脑外科
16,听神经瘤,听神经瘤是指起源于听神经鞘的肿瘤，多源于第Ⅷ脑神经内耳道段，亦可发自内耳道口神经鞘膜起始处或内耳道底，听神经瘤极少真正发自听神经，而多来自前庭上神经，其次为前庭下神经，一般为单侧，两侧同时发生者较少，肿瘤外观呈灰红色，大小不一，形状各异，质底视脂肪性变与囊变的有无和...,肿瘤科 耳鼻喉科
17,颅咽管瘤,颅咽管瘤是由外胚叶形成的颅咽管残余的上皮细胞发展起来的一种常见的胚胎残余组织肿瘤，为颅内最常见的先天性肿瘤。在鞍区肿瘤中占第二位。好发于儿童，成年人较少见。好发于鞍上，占整个颅内肿瘤的5～7%，占儿童颅内肿瘤的12～13%。其主要临床特点有下丘脑-垂体功能紊乱、颅内压增高、...,肿瘤科 脑外科
18,脑囊虫病,脑猪囊尾蚴病是由猪带绦虫的幼虫囊尾蚴寄生于中枢神经系统引起的疾病，是我国中枢神经系统寄生虫病中最常见的一种。本病临床症状多样，常引起严重病变，甚至可能危及生命。,脑外科
19,化脓性脑膜炎,化脓性脑膜炎（purulent meningitis）最常见的致病菌为肺炎球菌、脑膜炎双球菌及流感嗜血杆菌B型，其次为金黄色葡萄球菌、链球菌、大肠杆菌、变性杆菌、厌氧杆菌、沙门菌及铜绿假单胞菌等。感染的来源可因心、肺以及其他脏器感染波及到脑室和蛛网膜下腔系统，或由颅骨、椎骨或脑实质感染...,神经内科 脑外科
20,癫痫伴发的精神障碍,癫痫性精神障碍人们通过长期观察发现，癫痫患者容易出现多种类型的精神问题，情感障碍、社会心理适应障碍、人格改变等。癫痫性精神障碍的症状表现各异，可大致分为发作性和非发作性两种。发作性精神障碍表现为感觉、知觉、记忆、思维、精神运动性发作、情绪变化等。非发作性精神障碍则表...,精神病科 神经内科
21,痴呆,痴呆(dementia)是指在意识清醒状态下，出现的已获得的职业和社会活动技能减退和障碍，认知功能下降，记忆力减退和丧失，视空间技能损害，定向力、计算力、判断力等丧失，并相继出现人格、情感和行为改变等障碍，且呈进行性加重过程。　　皮克病(Pick disease)的病因也不清楚，可能是一种...,神经内科
22,小儿脑积水,脑积水是指过多的脑脊液在脑室和蛛网膜下腔内积聚。如果大量脑脊液积聚在大脑半球表面蛛网膜下腔，则称为硬膜下水囊瘤或硬膜下积液，脑室系统内过多的液体积聚称为脑室内脑积水。小儿脑积水多见于新生儿及婴儿，常伴有脑室系统扩大，颅内压增高及头围增大。,脑外科 神经内科
23,难治性癫痫,难治性癫痫(intractable epilepsy)又称之为顽固性癫痫(refractable epilepsy)，目前国内外尚无统一的定义。通常指无中枢神经系统进行性疾病或占位性病变，但临床迁延，经2年以上正规抗癫痫治疗，试用主要抗癫痫药单独或合用，达到患者能耐受最大剂量，血药浓度达到有效范围，仍不能控制...,神经内科
24,生长激素缺乏症,生长激素(GH)是人体促进生长的主要因素。影响身高的因素很多，在儿童、青少年时期，垂体GH分泌不足或缺乏，患者的生长都会出现明显障碍。其他原因还有营养不良、种族遗传、社会心理因素、多种躯体疾病包括内分泌与非内分泌性疾病等。如果身高低于同民族、同年龄的30%以下，或成人身高小...,内分泌科
25,原发性癫痫,特发性癫痫综合征的临床类型既有部分性发作(partial seizure)，又有全面性发作(generalized seizure)。主要包括儿童良性中央颞区癫痫 (benign rolantic epilepsy of childhood，BRE)、失神发作、良性家族性新生儿癫痫(benign familial neonatal convulsions，BFNC)、青少年肌阵挛癫痫 (j...,神经内科 脑外科
26,闭经性头痛,闭经头痛是指青中年妇女月经不潮而发生头疼，月经开则头痛消失的症候。中医认为此属瘀血上攻清空所致。,妇科 中医科
27,新生儿胆红素脑病,胆红素脑病是游离胆红素通过血脑屏障进入中枢神经系统， 导致神经细胞中毒变性，出现神经系统异常的临床和亚临床表现，也称之为胆红素中毒性脑病。　　几十年来，核黄疸一直是胆红素神经毒性表现的代名词。严格地说，核黄疸是解剖学名词，从病理解剖的角度，把肉眼看见脑组织染成黄色作...,儿科 脑外科
28,老年性癫痫,成年期起病的癫痫称晚发性癫痫。临床上多选择20岁作为其年龄起点，而将60岁以上发生癫痫者称为老年晚发性癫痫或老年性癫痫(senile epilepsy)。老年人癫痫多为继发性，其病因、诊断、治疗等均与其他年龄组癫痫不尽相同，有自己的特点。,神经内科 老年科
29,硫化氢中毒,硫化氢（hydrogen sulfide）是具有刺激性和窒息性的无色气体。低浓度接触仅有呼吸道及眼的局部刺激作用，高浓度时全身作用较明显，表现为中枢神经系统症状和窒息症状。硫化氢具有臭蛋样气味，但极高浓度很快引起嗅觉疲劳而不觉其味。采矿、冶炼、甜菜制糖，制造二硫化碳、有机磷农药，以...,急诊科
30,脑病,脑病是指因遗传、先天性脑发育不全、脑外伤、脑肿瘤、脑出血、脑梗阻、感染、化学药物中毒等引起的大脑神经组织损伤。,脑外科
31,酒精性脑萎缩,酒精性脑萎缩(alcoholic cerebral atrophy)指慢性酒精消耗所致的大脑组织不可逆的减少。对本病是否构成一独立的临床病理疾病有争议。有一些作者认为酒精性脑萎缩是一病理性概念，这一名词最早来源于脑造影术的研究。特指相对年轻酗酒者、临床有或没有大脑病变症状，脑造影术表现有侧脑室...,神经内科
32,神经元肿瘤和神经元与神经胶质混合性肿瘤,1993年，WHO将含有神经元瘤细胞的神经上皮来源的肿瘤归为一类。在这一类肿瘤中，包括：　　1.小神经元细胞肿瘤 有中央神经细胞瘤与嗅神经母细胞瘤。　　2.大神经元细胞肿瘤 有神经节细胞瘤、Lhermitte-Duclos病等。　　3.神经元与神经胶质混合性肿瘤 如神经节胶质瘤与间变性神经节胶质瘤...,脑外科 肿瘤科
33,戒酒综合征,急性戒酒综合征(acute alcohol withdrawal syndrome)发生在长期(2～3周以上)大量饮酒，而突然停止饮酒或明显减量时，患者随即产生一系列症状与体征，被称为戒酒综合征或脱瘾症候群。发病机制系因中枢神经系统失去酒精的抑制作用而产生大脑皮质或β-肾上腺素能神经过度兴奋所致。多发生在...,神经内科
34,头皮血肿,头皮血肿多因钝器伤及头皮所致。,脑外科 外伤科
35,新生儿化脓性脑膜炎,新生儿化脓性脑膜炎(purulent meningitis of newborn)以下简称化脑，是新生儿期化脓菌引起的脑膜炎症。化脑是常见的危及新生儿生命的疾病，本病常为败血症的一部分或继发于败血症。但有的患儿无败血症症状，而仅有暂时的菌血症。其临床症状常不典型(尤其早产儿)，主要表现烦躁不安、哭闹...,神经内科 儿科
36,顶叶癫痫,顶叶癫痫(parietal lobus epilepsy)以感觉发作为主，继发全身性发作，如痫性放电超出顶叶常表现复杂部分性发作。,神经内科 脑外科
37,CM1神经节苷脂贮积症,CM1神经节苷脂贮积症(CM1 gangliosidosis)是由半乳糖苷酶缺乏而引起的一种遗传性溶酶体疾病。其遗传方式为常染色体隐性遗传。临床特征为进行性中枢神经系统障碍及类似黏多糖贮积症Ⅰ型的骨骼异常。,神经内科 儿科
38,神经胶质瘤,神经胶质瘤(Giiomas)亦称胶质细胞瘤，简称胶质瘤，是发生于神经外胚层的肿瘤，故亦称神经外胚层肿瘤或神经上皮肿瘤。肿瘤起源于神经间质细胞，即神经胶质、室管膜、脉络丛上皮和神经实质细胞，即神经元。大多数肿瘤起源于不同类型的神经胶质，但根据组织发生学来源及生物学特征类似，对...,肿瘤科 外科
39,松果体瘤,本征于1972年由Pellizzi提出，又称性早熟综合征、早熟性巨生殖器巨体综合征。系指松果肿瘤引起的促性腺激素及性激素分泌增多(松果体的分泌功能上与腺垂体有拮抗作用)。常见的肿瘤有成松果体细胞瘤、松果体细胞瘤，成胶质细胞瘤、畸胎瘤、生殖细胞瘤、精原细胞瘤、星形细胞瘤、异位松果体...,神经内科
40,功能性下丘脑性闭经,下丘脑是生殖的重要器官，下丘脑通过神经传导及垂体-门脉系统调节垂体的功能，使垂体分泌相应的激素，这些激素作用于卵巢，产生甾体激素，保证生殖功能的正常维持。下丘脑的功能一方面接受中枢神经细胞的刺激，调节促垂体激素的分泌;一方面受垂体分泌的激素的负反馈调节。下丘脑中央隆突...,内分泌科
41,基底细胞腺瘤,基底细胞腺瘤（basal cell adenoma）为涎腺上皮性良性肿瘤。Klein sasser和Klein（1967）首先描述其病理表现，并将其列为涎腺肿瘤的一个类型。Evans（1970）进一步阐述了其特征。基底细胞腺瘤的组织来源是闰管细胞或储备细胞。,肿瘤科
42,脑瘫,脑性瘫痪(cerebral palsy)也称婴儿脑性瘫痪(infantile cerebral palsy)，是先天性运动功能障碍及姿势异常临床综合征，我国脑性瘫痪专题座谈会(1988)提出脑性瘫痪的定义是：婴儿出生前到出生后1个月内发育期非进行性脑损害综合征，主要表现为中枢性运动障碍及姿势异常。其他原因导致的短...,脑外科
43,神经性头痛,神经性头痛主要是指紧张性头痛、功能性头痛及血管神经性头痛，大部分病人为两侧头痛，多为两颞侧、后枕部及头顶部或全头部。头痛的强度为轻度至中度，很少因头痛而卧床不起或影响日常生活。主要症状为持续性的头部闷痛、压迫感、沉重感，有的病人自诉为头部有“紧箍”感。,神经内科
44,内耳膜迷路积水,内耳膜迷路积水-耳性眩晕综合征即梅尼埃病(Ménière disease)又称Ménière综合征、耳病性眩晕、迷路病、膜迷路积水等，1861年由法国医师Ménière最早记载了一侧性耳鸣-耳聋-眩晕三联症，并提出“内耳性眩晕说”，为非炎症性内耳性眩晕症。,神经内科 耳鼻喉科
45,帕金森病性痴呆,帕金森病是一种缓慢发生的，选择性的，中脑黑质多巴胺能神经元丧失和纹状体多巴胺含量显著减少，导致锥体外系的一系列症状，以运动减少、肌强直、震颤和姿势调节障碍为主要临床表现的疾病。本病多发于中老年人，发病年龄多为55～61岁，病程呈缓慢进行性发展。与老年痴呆有明显的不同。,神经内科
46,小舞蹈病,小舞蹈病又称风湿性舞蹈病，属于原因不明性的一种脑病。常为急性风湿病的表现之一。本病多见于5～15岁的儿童。多系亚急性起病，也有因情绪激动而骤然发病。表现为极快的不规则跳动和无意义的舞蹈样动作、肌张力降低和肌无力等，且常伴心理障碍。本病可自愈，但复发者不少见。现代医学除...,神经内科
47,疯牛病,"克罗伊茨费尔特-雅各布病(Creutzfeldt-Jakob disease，CJD)为可传递性中枢神经系统变性疾病中常见类型,是人的海绵状脑病，而nvCJD可能是人畜共患的新型传染病，俗称疯牛病(mad cow disease，MCD)。但决不是接触传染。散发性CJD可以通过某些检查而传染给他人。目前，相当一部分人认为CJD...",神经内科
48,早期婴儿型癫痫性脑病,早期婴儿型癫痫性脑病又称大田原综合征(infantile epileptic encephalopathy)，是一种恶性癫痫。本病征以发病年龄早、脑电图具有暴发-抑制波型、惊厥难以控制、预后差、可转变成婴儿痉挛症等特点。,脑外科 儿科
49,外伤后头痛,外伤后头痛是指各类头颅外伤后出现的头痛，它可以是一个独立的症状，也可以和其他症状同时存在，例如短时记忆力丧失等。,神经内科 脑外科
50,路易体痴呆,路易体痴呆(dementia with Lewy bodies，DLB)由Okazak等(1961)首先描述，是一组在临床和病理表现上重叠于帕金森病与Alzheimer病之间，以波动性认知功能障碍、视幻觉和帕金森病综合征为临床特点，以路易体(Lewy body)为病理特征的神经变性疾病。,神经内科
51,中枢神经系统感染,中枢神经系统感染包括脑膜炎（脑膜或脊膜的炎症），大脑炎（中枢神经系统受到细菌侵犯出现的脑部临床表现），脑炎（中枢神经系统病毒感染引起的脑部临床表现），脓肿以及蠕虫感染。中枢神经系统对各种病原体的侵犯有较强的抵抗力，但是脑和脊髓一旦受到感染则后果非常严重。,神经内科 儿科
52,胶质母细胞瘤,胶质母细胞瘤是星形细胞肿瘤中恶性程度最高的胶质瘤，属WHO Ⅳ级。肿瘤位于皮质下，成浸润性生长，常侵犯几个脑叶，并侵犯深部结构，还可经胼胝体波及对侧大脑半球。发生部位以额叶最多见，其他依次为颞叶/顶叶，少数可见于枕叶/丘脑和基底节等。胶质母细胞瘤可原发于脑实质内，亦可呈继...,脑外科 肿瘤科
53,颅内高压综合征,侧卧位测量成年人平均脑脊液压力超过1.96kPa(相当200mmH2O)时，即为颅内压增高。颅内高压综合征(intracranial hypertension)是由多种原因造成颅内容物的总容积增加，或由先天性畸形造成颅腔容积狭小时，颅内压力增高并超出其代偿范围，继而出现的一种常见的神经系统综合征，又称颅内压增...,神经内科 脑外科
54,脑萎,脑萎指因五脏亏虚，气血不足，使脑髓空虚所引起的。以进行性健忘，智能减退，人格障碍，痴呆，震颤等为主要表现的劳病类疾病。脑萎又名脑髓消。　　本病相当于西医学所说的弥漫性大脑萎缩症、脑叶萎缩症。,神经内科 中医科
55,空鞍综合征,空鞍综合征(empty sella syndrome)是指蛛网膜下腔疝入垂体窝内，使垂体受压变形及蝶鞍扩大引起的1组综合征。空鞍综合征一词最早于1949年由Sheehan和Summers曾用于描述产后垂体坏死。以往文献中也有人称之为鞍膈缺损、鞍内蛛网膜囊肿或憩室。至1950年Busch调查了788例已知垂体疾病的尸检...,外科
56,蚕蚀性角膜溃疡,蚕蚀性（或慢性匐行性）角膜溃疡，首先由Mooren（1867）所报告，故也称Mooren氏角膜溃疡。本病在临床上比较常见，但由于病因不清，病情顽固，且无特效的治疗方法，迄今仍被视为一种极为严重的致盲性眼病。,眼科
57,水痘性角膜炎,水痘是由水痘-带状疱疹病毒(varicella-zoster virus，VZV)引起的小儿急性传染病，其特征是在皮肤和黏膜上分批出现丘疹，迅速变成疱疹并结痂。发疹期或发疹后期部分患儿可出现不同程度的角膜损害，称为水痘性角膜炎(varicella keratitis)。,眼科 儿科
58,眼睑热性疱疹,眼睑热性疱疹由单纯疤疹病毒I型引起。常见于6个月至15岁儿童。多发生于流行性感冒、上呼吸道感染、肺炎等热性病之后，也可并发于急性滤泡性结膜炎或单疤病毒性角膜炎。本病无免疫力，易复发。,眼科
59,颈动脉海绵窦瘘,颈动脉与海绵窦的直接交通即颈动脉海绵窦瘘(carotid cavernous fistula，CCF)，是一种较为常见的神经眼科综合征。由于特殊的解剖原因，海绵窦区是全身发生动静脉瘘最多的部位。80%以上的患者首先发生眼部症状和体征，如眼球突出、充血、眼球运动障碍等而就诊于眼科医师。有时因经验不足...,眼科
60,Stargardt病,Stargardt病是指黄斑萎缩性损害合并视网膜黄色斑点沉着。本病具有两种特殊征候：黄斑椭圆形萎缩区及其周围视网膜的黄色斑点。Stargardt病大多在恒齿生长期开始发病，是一种原发于视网膜色素上皮层的常染色体隐性遗传病，散发性者亦非少见，较多发生于近亲婚配的子女患者双眼受害，同步发...,眼科
61,过敏性肉芽肿性血管炎相关巩膜炎,过敏性肉芽肿性血管炎(AGA)又称Churg-Strauss综合征，是一种类似于结节性多动脉炎(PAN)的血管性疾病，可影响身体的任何器官，但与典型的PAN相比有如下特点：①90%以上的患者皆侵及肺血管；②血管炎累及到中小动静脉；③血管内及血管外肉芽肿形成；④嗜酸性粒细胞组织浸润；⑤并发哮喘及...,眼科 风湿科
62,代谢性白内障,代谢性白内障与晶状体的代谢有关，由于血糖增加，晶状体的葡萄糖含量增加，致其醛糖还原梅活性增加，葡萄糖被转化为山梨梅，山梨醇在晶状体内堆积，使渗透压增加，晶状体吸收水分，形成纤维肿胀和变性最后产生混浊。许多全身病，特别是内分泌障碍性疾病，多合并不同类型的白内障，即代谢...,眼科 内分泌科
63,视瞻昏渺,视瞻昏渺是指外眼无异常，而视力减退，以致视物模糊不清，故《证治准绳·杂病·七窍门》称之为视瞻昏渺。症状类似西医学之脉络膜、视网膜炎，以及慢性球后视神经炎。　　,中医科
64,绿色瘤,绿色瘤是为髓性白血病，异常白细胞在骨膜下或软组织内所形成的一种局限性浸润。因其颜色淡绿（瘤细胞原浆骨存在淡绿色色素），肿块呈圆形隆起似瘤，由此得名。此病患者多为外观健康的儿童，男性较女性多见。常有白血病的血液及骨髓象改变，病程急而发展快，可在数月乃至数周内死亡。,血液科 肿瘤科
65,眼眶皮样囊肿,皮样囊肿和表皮样囊肿(dermoid cyst and epidermoid cyst)都是一种先天性囊肿，两种囊肿在病理学结构上稍有区别，但临床上基本是一种疾病，组织来源、临床表现、诊断和治疗基本相同。可能是胚胎时期表面上皮的残余物被夹在骨缝中，病变不断脱落形成囊肿。囊肿在镜下由薄的角化鳞状上皮衬...,眼科
66,中间葡萄膜炎,中间葡萄膜炎(intermediate uveitis)是一组主要累及睫状体平坦部、玻璃体基底部、周边视网膜和脉络膜的炎症性和增殖性疾病，典型地表现为睫状体平坦部的雪堤样病变。,眼科
67,单纯疱疹性葡萄膜炎,单纯疱疹病毒(herpes simplex virus，HSV)侵入机体后可以通过直接侵犯或通过诱发的免疫应答而引起葡萄膜炎。临床上可表现为前葡萄膜炎，也可以表现为后葡萄膜炎。,眼科 传染科
68,阿克森费尔德-里格尔综合征,阿克森费尔德-里格尔综合征(Axenfeld-Rieger syndrome)是指双眼发育性缺陷，伴有或不伴有全身发育异常的一组发育性疾病，其特点是：①双眼发育缺陷;②可伴有全身发育异常;③继发性青光眼;④常染色体显性遗传，多有家族史，也有散发病例的报道;⑤男女发病相同。1920年Axenfeld报告了1例患...,眼科
69,眼睑炭疽,眼睑细菌性感染属于祖国医学的“眼痈”、“眼睑疮疡”、“胞肿如桃”、“火胀大头”、“覆杯”等范畴。　　西医病名定义：眼睑炭疽系炭疽杆菌感染所致。由患病的牲畜接触所引起，故本病患者多为畜牧、屠宰场及制革厂等工作者。,眼科
70,动脉阻塞或狭窄视网膜病变,颈动脉阻塞或狭窄可导致脑和眼的供血不足而产生一系列脑和眼的症状。现在研究证明这种眼底改变并不是由于静脉淤滞而是由于颈动脉阻塞或狭窄导致眼动脉长期灌注不足而引起的视网膜病变称为低灌注视网膜病变。颈动脉阻塞也可引起眼前部缺血，与眼底改变一起称为眼缺血综合征。,眼科
71,眼眶脂肪瘤,脂肪瘤(lipoma)是脂肪细胞或脂肪性质肿瘤的代表。虽然它们在全身各种组织特别是皮下组织常见，但在文献完整记录的眼眶脂肪瘤十分少见。此种肿瘤的典型变异称为纺锤形细胞脂肪瘤，近期已经在眼眶内发现。,眼科 肿瘤科
72,小儿视网膜母细胞瘤,视网膜母细胞瘤(retinoblastoma)是小儿最常见的眼内肿瘤，多见于婴幼儿，2/3在3岁以下，5岁以上者少于5%。此瘤不仅危害患儿视力，更威胁患儿生命。,眼科 肿瘤科
73,Theodore上方角膜缘角结膜炎,Theodore上方角膜缘角结膜炎(superior limbic keratoconjunctivitis of Theodore，SLK)是以上睑结膜、上方球结膜、上方角膜缘和邻近角膜反复发作的慢性角结膜炎为特征的一种疾病。病因不明。多为双侧发病。1/3的患者伴发上方角膜上皮丝状物。,眼科
74,圆翳内障,圆翳内障是指晶珠混浊，视力缓降，渐至失明的慢性眼病。因最终在瞳神之中出现圆形银白色或棕褐色的翳障，故《秘传眼科龙木论》称之为圆翳内障。本病多见于老年人。常两眼发病，但有先后发生或轻重程度不同之别。历代眼科文献所载与本病类同者计十余种之多，如浮翳、沉翳、滑翳、枣花翳、...,中医科 眼科
75,原发性青光眼,原发性青光眼是一种慢性眼病，而且多数病人需长期点药，如不坚持治疗，也可导致失明。因此，病人既不能麻痹大意，也不要悲观失望，要树立战胜疾病的信心，要仔细摸索眼压波动的规律和幅度，制定合理的点药方案，定期检查眼压。,眼科
76,辐射性白内障,临床上将有明确证据证明因辐射而引起的白内障称为辐射性白内障(radiation cataract)。晶状体赤道部囊膜下上皮细胞对电离辐射甚为敏感。受损伤的上皮细胞可产生颗粒样物质，在囊膜下自周边部向中心迁移，特别在后极部尤为明显。这种颗粒样物质的出现，大约需数月乃至数年的潜伏期。,眼科
77,眼部神经纤维瘤病,神经纤维瘤病(neurofibromatosis，NF-1)亦属斑痣性错构瘤病之一。1882年Von Recklinghausen首先报告本病的临床和病理改变，所以又名Recklinghausen病、von Recklinghausen病。是遗传性疾患，属常染色体显性遗传，外显率不规则，遗传特性的表现为多变性，突变率高。发病率约为新生儿的1/3...,眼科 肿瘤科
78,原发性非调节性内斜视,先天性内斜视（congenital esotropia）一般在生后或生后数日内发生内斜，因患儿父母很少在新生儿时期就诊，故临床上很少见到先天性内斜视，多见的是生后早期发现有斜视。因为患儿父母对婴儿一岁以内的双眼眼位情况，常常不能作出准确客观的判断，有可能把双眼视轴平等的不稳定性，误认为...,眼科
79,视神经乳头水肿及视盘水肿,视神经乳头水肿(papilloedema)一词严格限于由于颅内压力增高引起的视神经乳头的水肿情况，其他各种原因引起的视盘水肿情况均称为视盘水肿(optic disc edema)。,眼科
80,视网膜毛细血管血管瘤,视网膜血管瘤往往为全身血管瘤病的一部分，常伴有小脑、延脑、脊髓、肾上腺、肾、肝、附睾及卵巢等部位的血管瘤、囊肿或肿瘤，其中以小脑的血管母细胞瘤最常见。,眼科
81,赤脉传睛,赤脉传睛是因心火上炎，或阴虚火旺所致。以眦部生长赤脉，横侵白睛为主要表现的外障类疾病。,眼科 中医科
82,眼类肉瘤病,类肉瘤病(sarcoidosis)又叫结节病，由PM Boeck于1899年首先提出。1914年Schaumann将网状内皮系统损害的良性淋巴肉芽肿归入类肉瘤病。类肉瘤病这一名称已得到公认。 类肉瘤病可以侵犯人体肺、淋巴结、皮肤、神经、脾、肝、心、腮腺、肌肉、骨及骨关节等多种器官，以不发生干酪样变的上皮...,眼科
83,绿脓杆菌性角膜溃疡,是一种最严重的化脓性角膜炎，症状剧烈，发展迅速，可于24～48小时内破坏整个角膜，数日内即可失明，必须及时抢救治疗，并作好消毒隔离，严防交叉感染。,眼科
84,泪腺混合瘤,泪腺肿瘤在眶原发性肿瘤中发病率最高，而泪腺混合瘤又是其中最常见者，有良性及恶性二种。良性泪腺混合瘤多见于中年人，病程长，来源于泪腺管或腺泡，也可以起源于副泪腺及先天性胚胎组织残留（泪腺原基）。恶性泪腺混合瘤缺少或无完整的包膜，肿块与眶缘发生粘连，粘连部眶缘有压痛。瘤...,眼科 肿瘤科
85,原发性慢性闭角型青光眼,原发性慢性闭角型青光眼(chronic primary angle-closure glaucoma)是一类由目前尚不完全清楚的原因而导致房角突然或进行性关闭，周边虹膜阻塞小梁网而使房水排出受阻，眼压急骤升高或进行性升高的一类青光眼。到了19世纪许多眼科学者陆续发现浅前房和急性青光眼有密切关系。Curran首次发...,眼科
86,中毒性弱视,本病为视神经眶内段(乳头黄斑束)的中毒反应所致的视力减退。,眼科 儿科
87,视网膜色素上皮炎,急性色素上皮炎（acute pigment epithelitis）病因不明，可能是色素上皮由于病毒感染，亦可见于某些全身病，ERG正常，EOG可出现异常。多侵犯青壮年，单眼或双眼同时发病。在1～3月内可自行恢复，预后良好。,眼科 中医科
88,巨细胞病毒性葡萄膜炎,巨细胞病毒(cytomegalovirus，CMV)是一种疱疹病毒，在免疫功能正常者它一般不引起疾病，在免疫功能受抑制者可以引起胃肠道疾病、中枢神经系统疾病、肺部疾病和视网膜炎，其中视网膜炎为最常见的疾病，也是获得性免疫缺陷综合征最常见的机会感染和致盲原因。,眼科 传染科
89,眼底血管样条纹,眼底血管样条纹(fundus angioid streaks)是一种Bruch膜疾病。由脉络膜的Bruch膜的中胚叶成分即弹力层的变性所致。本病1889年由Doyne首先描述，于1892年由Knapp予以命名。合并皮肤弹力纤维损害等周身病变者称Grenoblad-Strandberg综合征。病变累及黄斑时视力呈永久性的下降。血管样条纹往...,眼科
