,疾病名称,多发人群
280,正常颅压脑积水,所有人群
281,广州管圆线虫病,所有人群
282,蛛网膜炎,多见于青、中年
283,小儿颅脑损伤,5岁以内是发病高峰期
284,维生素D缺乏神经病,婴幼儿
285,发作性嗜睡强食综合征,10～20岁起病，以男性居多
286,第三脑室肿瘤,成年人
287,慢性进行性舞蹈病,所有人群
288,老年期谵妄,老年人
289,癫狂病,所有人群
290,下丘脑错构瘤,婴幼儿及儿童期发病
291,神经发育迟滞,所有人群
292,颅内肿瘤伴发的精神障碍,成年人
293,下丘脑多汗症,儿童，青少年
294,高原脑水肿,本病多半发生在特高海拔地区，一般老年人低于青年人、女性低于男性
295,小儿脑干胶质瘤,发病高峰年龄为6～10岁
296,老年人单纯疱疹病毒性脑炎,老年人
297,皮层性多汗症,有阳性家族史，常在婴儿期或儿童期开始发病。
298,偏瘫型偏头痛,所有人群
299,髓性多汗症,好发于年轻人
300,丘脑下部损伤,所有人群
301,血管性头痛,所有人群
302,脑蛛网膜炎,青壮年
303,高颅压性脑积水,中老年人和外伤患者
304,神经系统遗传病,先天遗传
305,脑桥中央髓鞘溶解症,尤其是营养不良的慢性酒精中毒者
306,肠道革兰阴性杆菌脑膜炎,好发于新生儿
307,流行性甲型脑炎,所有人群
308,颅内脊索瘤,可发生在任何年龄，其范围可以从1岁半到80多岁，但主要好发于40～60岁左右
309,复发性无菌性脑膜炎,本病多见于儿童及青壮年，男女均可患病
310,外伤性颈内动脉海绵窦瘘,所有人群
311,维生素A缺乏神经病,所有人群
312,少枝胶质细胞瘤及间变少枝胶质细胞瘤,成人多见，好发于中年前后，平均发病年龄为38～45岁，男性多于女性，有报道男女之比为2
313,米勒费雪症候群,所有人群
314,阿尔茨海默病性痴呆,老年人群
315,星形细胞瘤,所有人群
316,脑炎,儿童多见
317,脊髓小脑变性症,一般起病于30到50岁之间
318,小儿结核性脑膜炎,儿童人群
319,颅内占位性病变引起的头痛,所有人群
320,阿尔采末病,老年人
321,遗传性共济失调,多于成年发病（大于30岁）
322,腹型偏头痛综合征,所有人群
323,侏儒症,小孩发育不正常
324,原发性阅读癫痫,发病年龄为12-25岁，男性患者为女性的1.8倍。
325,橄榄体脑桥小脑萎缩,50岁左右中老年人
326,新型隐球菌性脑膜炎,20～40岁青壮年
327,基底动脉型偏头痛,多发于青春期女孩，绝大部分病人发病年龄皆在35岁以下
328,老年人正常压力脑积水,老年脑病患者
329,外伤性脑室内出血,所有人群
330,森林脑炎,从事森林作业的工作人员
331,希恩综合征,生产时出现过大出血的妇女多见
332,小儿外部性脑积水,发病年龄在1～1.5岁、前囟未闭合之前，多发生于6个月左右婴儿。
333,脑蛛网膜下腔出血,所有年龄均可发病青壮年常见
334,进行性核上性麻痹,多发生于51～60岁男性
335,单纯疱疹性脑炎,20岁以上的成人
336,下丘脑疾病,所有人群
337,颅内低压综合征,所有人群
338,颅内生殖细胞瘤,儿童和青少年男性
339,致死性家族性失眠症,所有人群
340,闭合性脑外伤,所有人群
341,新生儿头颅血肿,常见于初产妇鵻的婴儿，尤以高龄初产者为多
342,急性化脓性脑膜炎,幼儿和老年人
343,精神活性物质所致精神障碍,成人
344,小儿神经母细胞瘤,婴幼儿
345,急性酒中毒,嗜酒的人多见
346,脑血吸虫病,年轻人 农民、渔民为多，男多于女
347,急性中毒性脑炎,多见于2～10岁儿童、婴儿期少见
348,Friedreich共济失调症,好发年龄为青少年
349,脑膜癌病,好发于中老年
350,老年人颅内压增高,伴有高血压、肥胖、糖尿病者常见
351,中枢神经细胞瘤,中青年多见，发病年龄一般在15～52岁
352,老年人结核性脑膜炎,成人
353,良性颅内高压症,20～44 岁的肥胖女性
354,肥胖性生殖无能综合征,幼儿、学龄期男孩多见
355,慢性过敏性结膜炎,所有人群
356,过敏性鼻炎,青壮年
357,鼻炎,所有人群
358,鼻出血,所有人群
359,鼻咽炎,青壮年
360,副鼻窦炎,所有人群
361,鼻前庭炎,所有人群
362,慢性肥厚性鼻炎,青壮年男性，慢性单纯性鼻炎发展而来
363,慢性单纯性鼻炎,反复急性鼻炎发作史者多见
364,季节性过敏性鼻炎,过敏体质多见
365,空鼻症,鼻甲切除性手术者多见
366,急性鼻窦炎,低龄、年老体弱者更多见
367,上颌窦恶性肿瘤,本病多见于50岁以上
368,枯草热,过敏体质者多发
369,小儿过敏性鼻炎,2～6岁的学龄前儿童多发
370,上颌窦癌,多见于40-50岁男性，80%发病患者在45岁以上
371,干酪性鼻炎,所有人群
372,急性额窦炎,所有人群
373,鼻孢子虫病,儿童及青年，男性多见
374,鼻窦创伤,所有人群
375,鼻中隔血肿,所有人群
376,急性蝶窦炎,所有人
377,嗜酸细胞增多性非变态反应性鼻炎,所有人群
378,上颌窦后鼻孔息肉,青少年
379,先天性后鼻孔闭锁,新生儿
380,鼻中隔溃疡,所有人
381,鼻腔恶性黑色素瘤,男性
382,分泌性中耳炎,儿童。所有人群
383,中耳炎,所有人群
384,突发性耳聋,儿童、青壮年
385,老年性耳聋,老年人群
386,梅尼埃病,30～50岁的中、青年人
387,耵聍栓塞,所有人群
388,外耳湿疹,好发于婴幼儿
389,耳部恶性肿瘤,中年以后多见
390,耳带状疱疹,所有人群
391,迷路炎,所有人群
392,外耳道真菌病,所有人群
393,鼻鼽,所有人群均可发病
394,粘连性中耳炎,儿童
395,外耳道乳头状瘤,男性青壮年
396,耳痈,所有人群
397,前斜角肌综合征,中年女性
398,弥漫性外耳道炎,外耳道皮肤外伤或局部抵抗力降低者常见
399,急性乳突炎,儿童
400,耳内脑膜脑疝,所有人群
401,蓝鼓膜与胆固醇肉芽肿,所有人群
402,耳鼻咽喉创伤,所有人群
403,失荣,中年人
404,神经系统先天性疾病,所有人群
405,小儿球形细胞脑白质营养不良,婴幼儿
406,皮克病性痴呆,老年人群
407,颅内肿瘤性出血,所有人群
408,酒中毒性痴呆,长期大量饮酒者
409,失认症,老年人群
410,外伤后低颅压综合征,外伤史患者多见
411,出血性休克和脑病综合征,所有人群
412,颅内畸胎瘤,多发于30岁以下的青壮年，男女发病率无明显差异。
413,小脑脑桥角脑膜瘤,中年人群
414,小儿阿姆斯特丹型侏儒,儿童多发
415,酒中毒性小脑变性,所有人群
416,小脑幕脑膜瘤,中年人群
417,小儿松果体区肿瘤,儿童期的发病率较成人高2倍以上
418,小儿髓母细胞瘤,儿童
419,失用症,老年人群
420,脑室炎,所有人群
421,慢性硬脑膜外血肿,所有人群
422,小儿慢性硬膜下血肿,婴幼儿
423,矢状窦旁脑膜瘤,所有人群
424,小儿脑膜瘤,儿童脑膜瘤以5～14岁为好发年龄
425,嗅沟脑膜瘤,所有人群
426,小儿后颅窝型脑积水综合征,儿童
427,小儿无菌性脑膜炎综合征,儿童人群
428,纹状体黑质变性,中老年人群
429,神经节苷脂沉积病,遗传患者
430,小儿颅咽管瘤,儿童
431,硬脑膜外脓肿,所有人群
432,神经系统遗传性病,中年人人群
433,急性及亚急性脑内血肿,所有人群
434,小儿鞍上生殖细胞瘤,儿童
435,迁延性昏迷,所有人群
436,颅内黑色素瘤,所有人群
437,基底节血肿,中老年人群尤以高血压病人多见
438,小儿大脑半球胶质瘤,中老年人
439,脑棘球蚴病,所有人群
440,酒精中毒性神经疾病,青壮年
441,克-雅氏病性痴呆,发病年龄多在40～65岁
442,锥虫病,非洲撒哈拉南部的人
443,第四脑室肿瘤,儿童及青年人
444,侧脑室肿瘤,20岁女性
445,淋巴细胞性垂体炎,多见于妊娠时或产后妇女
446,垂体危象与垂体卒中,所有人群
447,头部鳞状细胞癌,多见于中、老年人群
448,颅内静脉血栓形成,好发于青年人和儿童，成人患者中四分之三为妇女
449,脉络丛乳头状瘤,好发于儿童
450,常染色体隐性遗传性脑动脉病及动脉硬化伴皮质下梗死及白质脑病,青年人
451,亨廷顿病性痴呆,30～50岁之间发病，平均为40岁
452,脑膨出和脑脊膜膨出,所有人群
453,外伤性脑积水,重型脑损伤并伴有脑挫裂伤、蛛网膜下腔出血者
454,多发性颅内血肿,成年人多见
455,垂体卒中,所有人群
456,产瘤,新生儿、儿童
457,外伤后颅内积气,成年人多见
458,蝶骨嵴脑膜瘤,所有人群
459,基底核钙化症,中老年人群
460,小儿癫痫发作诱发失语综合征,婴幼儿
461,小儿脑水肿与颅内高压综合征,所有幼儿可见
462,柞蚕蛹脑病,成人
463,颅后窝室管膜瘤,5岁以下儿童多见
464,额颞痴呆,中老年
465,脑痨,多见于儿童及青年
466,老年性昏迷,老年人
467,进行性多灶性白质脑病,细胞免疫反应缺陷的患者
468,松果体细胞瘤,25～35岁成人
469,淋巴细胞脉络丛脑膜炎,所有人群
470,小儿急性小脑性共济失调,小儿
471,外伤性硬脑膜下积液,所有人群
472,小儿异染性脑白质营养不良,婴幼儿童
473,硬脑膜外血肿,所有人群
474,小儿颅内肿瘤,小儿
475,格斯特曼综合征,发病年龄为15～79 岁
476,气功所致精神障碍,练气功人群
477,脑室内脑膜瘤,所有人群
478,先天性耳前瘘管,所有人群
479,腮腺炎,儿童、青少年
480,面部粟粒性狼疮,成年人
481,化脓性腮腺炎,成年人及儿童
482,头-面血管瘤综合征,所有人群
483,龋齿,所有人群，多见于儿童、青少年、孕妇或健康状况不佳者
484,智齿冠周炎,.多发生于年轻人，尤以18～25岁最多见。
485,地图舌,体质瘦弱的儿童青年女性
486,牙周炎,35岁以后较为多见
487,口腔扁平苔藓,所有人群
488,牙龈癌,发生于40－60岁之间，男性多于女性
489,口角炎,所有人群
490,根尖周病,所有人群
491,口腔粘膜病,多发生于幼儿及青少年
492,唇疱疹,患者接触人群
493,口腔白斑,40岁以上男性
494,腭裂,新生儿
495,细菌性咽扁桃体炎,儿童多见
496,口周湿疹,婴儿期
497,舌白斑,一般好发于40岁以上者
498,口腔菜花状乳头瘤病,中老年多发
499,颌骨骨髓炎,儿童
500,青少年牙周炎,青少年
501,粘液表皮样癌,所有人群
502,创伤性口炎,外伤患者
503,腺淋巴瘤,40～70岁为好发年龄，儿童极少见。
504,软腭癌,中老年人
505,肥大性龈炎,青春期人群
506,坏死性龈口炎,儿童
507,黑舌,肥胖者男性比女性多见
508,复发性阿弗他性口腔炎,所有人
509,乳头状囊腺瘤,中青年人群女性多见
510,羊胡疮,主要发生在男性胡须部位20～40岁男性
511,涎腺囊肿,青壮年
512,舌下间隙感染,所有人群
513,糖原贮积病Ⅱ型,各年龄组均可发病
514,小儿赖氏综合征,儿童
515,硬脑膜脓肿,所有人群
516,成人全垂体功能减退,所有人群
517,小儿脑膜炎球菌性肾上腺综合征,儿童
518,小儿莫拉雷脑膜炎,婴儿
519,外伤性低颅内压综合征,所有人群
520,小儿原发性脑干损伤,儿童多见
521,小儿下丘脑错构瘤,儿童
522,急性和亚急性硬脑膜下血肿,所有人
523,颅骨裂和有关畸形,所有人群
524,小儿柞蚕蛹性脑病综合征,儿童
525,小儿脑脓肿,儿童
526,利斯特菌脑膜炎,多见于婴幼儿、老年人及免疫功能缺陷的成人患者
527,头皮及颅骨烧伤,所有人
528,小儿颅后窝室管膜瘤,婴幼儿
529,圣路易斯型脑炎,所有人群
530,脑死亡,死亡人群
531,脑血遗栓后症,
532,脑炎后遗症,所有人群
533,脑出血后遗症,老年人
534,近视眼,儿童和青少年，尤其是常看电视电脑的。
535,麦粒肿,青年人
536,青光眼,所有人群
537,沙眼,所有人群，少年人。男性多于女性
538,结膜炎,"所有人群,青少年占多数"
539,干眼症,"所有人群,青少年占多数"
540,玻璃体混浊,老年人、高度近视者
541,视网膜脱落,成年人
542,弱视,儿童
543,散光,所有人群，青少年
544,角膜炎,所有人群
545,老年性黄斑变性,老年人群
546,霰粒肿,所有人群
547,色盲,所有人群、以21～30岁最多
548,视神经炎,所有人群
549,泪囊炎,所有人群
550,单纯疱疹病毒性角膜炎,儿童
551,高眼压症,所有人群
552,角膜病,所有人群
553,视网膜母细胞瘤,常见于3岁以下儿童，具有家族遗传倾向
554,开角型青光眼,可以发生在年轻人，但在老年人中更常见
555,间歇性外斜视,儿童
556,原位癌,老年人
557,过敏性眼睑皮肤炎,儿童
558,白睛溢血,老年人
559,黄斑病变,老年人多发
560,老年人食管癌,免疫低下、长期吸烟喝酒老年人较常见
561,食管囊肿,所有人群
562,弥漫性食管痉挛,所有人群
563,药物性食管炎,所有人群
564,病毒性食管炎,所有人群
565,食管乳头状瘤,中老年男性
566,化脓性食管炎,所有人群
567,食管类癌,食管类癌多见男性，发病年龄26～77岁，平均54岁
568,食管失弛缓症,所有人群
569,咽食管憩室,所有人群
570,环咽肌失弛缓症,多发生于中老年女性
571,原发性食管恶性黑色素瘤,所有人群
572,先天性食管狭窄,新生儿
573,食管腐蚀性灼伤,儿童及成人均可发生
574,喉气管食管裂,婴幼儿
575,食管化学性烧伤,所有人群
576,膈下食管憩室,所有人群
577,食管中段憩室,所有人群
578,胡桃夹食管,所有人群
579,食管异位组织,新生儿（一个月内） 婴儿（2-11个月） 儿童（1-12岁）
580,畸形性吞咽困难,所有人群
581,弥漫性食管壁内憩室,50～60岁的男性
582,食管穿透性损伤,所有人群
583,异物性食管穿孔,所有人群
584,小儿食管异物,儿童
585,食管蹼和食管环,40岁以上
586,食管过短,所有人群
587,硬化剂治疗引起的食管损害,所有人群
588,膈上食管憩室,所有人群
589,器械性食管损伤,所有人群
590,膈扑动,所有人群
591,先天性胸骨后膈疝,所有人群
592,膈膨出和麻痹,所有人群
593,先天性胸腹裂孔疝,婴幼儿
594,膈先天性缺损,以婴幼儿多见，男性多于女性
595,胸腺癌,40-60岁人群
596,纵隔肿瘤,所有人群
597,纵隔气肿,所有人群
598,胸腺囊肿,颈部胸腺囊肿多见于10～20岁的患者、纵隔内胸腺囊肿则多为30～60岁
599,结核性心包炎,所有人群
600,纵隔炎,所有人
601,纵隔囊肿,所有人群
602,先天性膈疝,婴幼儿，多见于女儿
603,原发性纵隔肿瘤,均可发病
604,纵膈感染,所有人群
605,纵隔囊肿及肿瘤,儿童人群
606,急性纵隔炎,呼吸道感染史、外伤或手术史患者
607,纵隔间叶源性肿瘤及其他肿瘤,所有人群
608,纵隔脓肿,成年人
609,纵隔霍奇金淋巴瘤,15～34岁为高峰，发病者男性多于女性
610,纵隔畸胎瘤,所有人群，绝大多数为20～40岁
611,植物神经系统肿瘤,儿童最常见、亦见于年龄较大的儿童、青少年和青年人
612,小儿早老症,儿童
613,外伤后脑膨出,所有人群
614,副肿瘤性边缘系统脑炎,所有人群
615,亚急性硬化性全脑炎,所有人群
616,巨人症与肢端肥大症,所有人群
617,枕骨大孔脑膜瘤,所有人群
618,钩端螺旋体病神经系统表现,所有人群
619,脑型肺吸虫病,无特殊发病群体
620,顶叶肿瘤,成年人群
621,小儿肺炎链球菌脑膜炎,婴儿
622,胼胝体进行性变性,所有人群
623,小儿脑白质海绵状变性综合征,婴儿及儿童
624,朊毒体病,所有人群
625,小儿发作性睡病,儿童
626,流感嗜血杆菌脑膜炎,所有人群
627,新生儿反应低下,新生儿
628,副肿瘤性小脑变性,副肿瘤病变者
629,小儿变形性肌张力障碍,儿童
630,弓形体脑病,所有人群
631,皮克病,多为中老年发病，发病年龄30～90岁，60岁为高峰，多在70岁前发病，女性较多，40%的患者有家族史，其余为散发
632,枕叶肿瘤,所有人群
633,颅脑先天畸形,新生儿
634,脑膜转移瘤,儿童
635,小儿嗜血性流行性感冒杆菌脑膜炎,12岁以下儿童
